id,attack_cat
0,Fuzzers
1,Normal
2,Backdoor
3,Fuzzers
4,Normal
5,Generic
6,Generic
7,Analysis
8,Fuzzers
9,Fuzzers
10,Generic
11,Fuzzers
12,Shellcode
13,Analysis
14,Generic
15,Generic
16,Exploits
17,Normal
18,Worms
19,Analysis
20,Generic
21,Generic
22,Normal
23,Generic
24,Backdoor
25,Exploits
26,Normal
27,Worms
28,Generic
29,Generic
30,Normal
31,Worms
32,Shellcode
33,Worms
34,Backdoor
35,Worms
36,Analysis
37,Exploits
38,Backdoor
39,DoS
40,Normal
41,Generic
42,Generic
43,Exploits
44,Worms
45,Normal
46,Normal
47,Fuzzers
48,Generic
49,Generic
50,Fuzzers
51,Fuzzers
52,Normal
53,Backdoor
54,Worms
55,Backdoor
56,Normal
57,Generic
58,Normal
59,Fuzzers
60,Backdoor
61,Fuzzers
62,Backdoor
63,Fuzzers
64,Generic
65,Normal
66,Normal
67,Normal
68,Generic
69,Normal
70,Normal
71,Generic
72,Normal
73,Generic
74,Backdoor
75,Generic
76,Fuzzers
77,Worms
78,DoS
79,Normal
80,Worms
81,Normal
82,Backdoor
83,Analysis
84,Normal
85,Fuzzers
86,Shellcode
87,Worms
88,Fuzzers
89,Reconnaissance
90,Normal
91,Normal
92,Generic
93,Backdoor
94,Generic
95,Analysis
96,Normal
97,Fuzzers
98,Worms
99,Reconnaissance
100,Normal
101,Worms
102,Generic
103,Worms
104,Analysis
105,Generic
106,Fuzzers
107,Fuzzers
108,Generic
109,Backdoor
110,Backdoor
111,Analysis
112,Analysis
113,DoS
114,Generic
115,Exploits
116,Normal
117,Generic
118,Generic
119,Generic
120,Shellcode
121,Fuzzers
122,Worms
123,Fuzzers
124,Normal
125,Generic
126,Generic
127,Normal
128,Analysis
129,DoS
130,Worms
131,Normal
132,Analysis
133,Worms
134,Normal
135,Analysis
136,Normal
137,Worms
138,Fuzzers
139,Normal
140,Generic
141,Normal
142,Reconnaissance
143,Worms
144,Generic
145,Normal
146,Fuzzers
147,Fuzzers
148,Normal
149,Analysis
150,Normal
151,Normal
152,Normal
153,Normal
154,DoS
155,Fuzzers
156,Normal
157,Normal
158,Worms
159,Worms
160,Worms
161,Backdoor
162,DoS
163,Worms
164,Analysis
165,Generic
166,Backdoor
167,Worms
168,Exploits
169,Normal
170,Analysis
171,Analysis
172,Generic
173,Normal
174,Backdoor
175,Backdoor
176,Generic
177,Generic
178,Fuzzers
179,Normal
180,Fuzzers
181,Normal
182,Analysis
183,Generic
184,Generic
185,Backdoor
186,Worms
187,Generic
188,DoS
189,Shellcode
190,Fuzzers
191,Normal
192,DoS
193,Generic
194,Fuzzers
195,Normal
196,Generic
197,Generic
198,Exploits
199,Generic
200,Fuzzers
201,Normal
202,Normal
203,Generic
204,Generic
205,Normal
206,Analysis
207,Fuzzers
208,Normal
209,DoS
210,Normal
211,Fuzzers
212,Backdoor
213,Generic
214,Fuzzers
215,Worms
216,Generic
217,Generic
218,Generic
219,Generic
220,Worms
221,Analysis
222,Normal
223,Normal
224,Normal
225,Analysis
226,Normal
227,Generic
228,Generic
229,Analysis
230,Generic
231,Worms
232,Worms
233,Normal
234,Normal
235,Generic
236,Backdoor
237,Backdoor
238,Generic
239,Fuzzers
240,Generic
241,Shellcode
242,Normal
243,Normal
244,Normal
245,Shellcode
246,Normal
247,Shellcode
248,Backdoor
249,Exploits
250,Generic
251,DoS
252,Normal
253,DoS
254,Shellcode
255,Normal
256,Generic
257,Backdoor
258,DoS
259,Generic
260,Fuzzers
261,Reconnaissance
262,DoS
263,Generic
264,Fuzzers
265,Reconnaissance
266,Normal
267,Fuzzers
268,Worms
269,Generic
270,Worms
271,Backdoor
272,Reconnaissance
273,Shellcode
274,Generic
275,Worms
276,Normal
277,Backdoor
278,Fuzzers
279,Worms
280,Worms
281,Fuzzers
282,Fuzzers
283,Fuzzers
284,Generic
285,Fuzzers
286,Generic
287,Worms
288,Backdoor
289,Generic
290,Fuzzers
291,Analysis
292,Analysis
293,Analysis
294,Fuzzers
295,Generic
296,Normal
297,Backdoor
298,Normal
299,Normal
300,Normal
301,Worms
302,Normal
303,Generic
304,Worms
305,Fuzzers
306,Analysis
307,Reconnaissance
308,Generic
309,Generic
310,DoS
311,Normal
312,Normal
313,Worms
314,Generic
315,Normal
316,Normal
317,Worms
318,Normal
319,Analysis
320,Generic
321,Normal
322,Worms
323,Backdoor
324,Shellcode
325,Analysis
326,Reconnaissance
327,Worms
328,Fuzzers
329,Normal
330,Generic
331,Backdoor
332,Normal
333,Normal
334,Generic
335,Reconnaissance
336,Normal
337,DoS
338,Generic
339,Fuzzers
340,Normal
341,DoS
342,Normal
343,Normal
344,Fuzzers
345,Worms
346,Fuzzers
347,Generic
348,Backdoor
349,Reconnaissance
350,Fuzzers
351,Normal
352,Reconnaissance
353,Generic
354,Fuzzers
355,Analysis
356,DoS
357,Exploits
358,Analysis
359,Backdoor
360,DoS
361,Fuzzers
362,Worms
363,Normal
364,Normal
365,Normal
366,Fuzzers
367,Normal
368,Backdoor
369,Worms
370,Backdoor
371,Analysis
372,Fuzzers
373,DoS
374,Generic
375,Generic
376,Normal
377,Generic
378,Generic
379,Analysis
380,Analysis
381,Backdoor
382,Analysis
383,Normal
384,Reconnaissance
385,Analysis
386,Exploits
387,Generic
388,Normal
389,Generic
390,DoS
391,Analysis
392,Fuzzers
393,Generic
394,Normal
395,Normal
396,Generic
397,Normal
398,Backdoor
399,Backdoor
400,DoS
401,Worms
402,Backdoor
403,Generic
404,Normal
405,Backdoor
406,Exploits
407,DoS
408,Fuzzers
409,DoS
410,DoS
411,Backdoor
412,Normal
413,Generic
414,DoS
415,Analysis
416,Fuzzers
417,Normal
418,Worms
419,Normal
420,Generic
421,Normal
422,Fuzzers
423,Worms
424,Generic
425,Reconnaissance
426,Normal
427,Normal
428,Shellcode
429,Reconnaissance
430,Fuzzers
431,Fuzzers
432,Generic
433,Fuzzers
434,Normal
435,Generic
436,Analysis
437,Backdoor
438,Normal
439,Generic
440,Generic
441,Shellcode
442,Normal
443,Normal
444,Worms
445,Normal
446,Normal
447,Exploits
448,Backdoor
449,DoS
450,Fuzzers
451,Normal
452,Normal
453,Shellcode
454,Analysis
455,Reconnaissance
456,Generic
457,Fuzzers
458,Normal
459,Generic
460,Analysis
461,Fuzzers
462,Backdoor
463,Normal
464,Generic
465,Generic
466,Analysis
467,Analysis
468,Generic
469,Worms
470,Backdoor
471,Normal
472,Fuzzers
473,Analysis
474,Fuzzers
475,Normal
476,Normal
477,Normal
478,Generic
479,Analysis
480,Analysis
481,Analysis
482,Backdoor
483,Backdoor
484,Fuzzers
485,Normal
486,Normal
487,Analysis
488,Generic
489,Generic
490,Analysis
491,Normal
492,Generic
493,Backdoor
494,Backdoor
495,Exploits
496,Backdoor
497,Normal
498,Analysis
499,DoS
500,Analysis
501,Fuzzers
502,Normal
503,Normal
504,Normal
505,Analysis
506,Fuzzers
507,Analysis
508,Worms
509,Normal
510,Normal
511,Generic
512,Fuzzers
513,Analysis
514,Worms
515,Analysis
516,Generic
517,Fuzzers
518,Normal
519,Generic
520,Generic
521,Backdoor
522,Backdoor
523,Analysis
524,Exploits
525,DoS
526,Backdoor
527,Generic
528,Backdoor
529,Worms
530,Analysis
531,Normal
532,Generic
533,Normal
534,Fuzzers
535,Fuzzers
536,Normal
537,Normal
538,Generic
539,Analysis
540,Generic
541,Generic
542,Normal
543,Normal
544,Worms
545,Fuzzers
546,Normal
547,Analysis
548,Analysis
549,Reconnaissance
550,Generic
551,Normal
552,Generic
553,Normal
554,Normal
555,DoS
556,Fuzzers
557,Worms
558,Generic
559,Fuzzers
560,Fuzzers
561,Analysis
562,Normal
563,Analysis
564,Normal
565,Normal
566,Normal
567,Generic
568,Generic
569,Fuzzers
570,Exploits
571,Shellcode
572,Generic
573,Normal
574,Fuzzers
575,Analysis
576,Worms
577,Reconnaissance
578,Shellcode
579,Generic
580,Backdoor
581,Generic
582,Normal
583,Fuzzers
584,DoS
585,Shellcode
586,Analysis
587,Normal
588,Normal
589,Normal
590,Backdoor
591,Reconnaissance
592,Normal
593,Normal
594,Normal
595,Generic
596,Generic
597,Fuzzers
598,Normal
599,Generic
600,Normal
601,Shellcode
602,Backdoor
603,Analysis
604,Analysis
605,Backdoor
606,Normal
607,Normal
608,Generic
609,Fuzzers
610,Backdoor
611,Fuzzers
612,Backdoor
613,Normal
614,Reconnaissance
615,Normal
616,Generic
617,DoS
618,Normal
619,Exploits
620,Normal
621,Normal
622,Backdoor
623,Normal
624,DoS
625,Backdoor
626,Generic
627,DoS
628,Worms
629,Generic
630,Generic
631,Normal
632,Worms
633,Normal
634,Generic
635,Reconnaissance
636,Analysis
637,Generic
638,Backdoor
639,Fuzzers
640,Fuzzers
641,Generic
642,DoS
643,Generic
644,Generic
645,Generic
646,Exploits
647,Analysis
648,Analysis
649,Normal
650,Generic
651,Analysis
652,Exploits
653,Shellcode
654,Normal
655,DoS
656,Generic
657,Generic
658,Normal
659,Generic
660,Backdoor
661,Fuzzers
662,Fuzzers
663,Reconnaissance
664,Fuzzers
665,Shellcode
666,DoS
667,Fuzzers
668,Generic
669,Backdoor
670,Fuzzers
671,Shellcode
672,Generic
673,Normal
674,Generic
675,Analysis
676,Reconnaissance
677,Backdoor
678,Backdoor
679,DoS
680,Backdoor
681,Worms
682,Reconnaissance
683,Backdoor
684,DoS
685,Generic
686,DoS
687,Backdoor
688,Generic
689,Shellcode
690,Backdoor
691,DoS
692,Normal
693,Generic
694,Normal
695,Fuzzers
696,Generic
697,Generic
698,DoS
699,Normal
700,DoS
701,Normal
702,Generic
703,Analysis
704,Generic
705,Worms
706,Backdoor
707,Normal
708,Normal
709,Backdoor
710,Normal
711,Normal
712,Worms
713,Generic
714,Normal
715,Generic
716,Normal
717,Normal
718,Normal
719,Fuzzers
720,Generic
721,Backdoor
722,Fuzzers
723,Shellcode
724,Normal
725,DoS
726,Generic
727,DoS
728,Fuzzers
729,DoS
730,Generic
731,Reconnaissance
732,Normal
733,Generic
734,DoS
735,Generic
